genome	main_cluster	gnm_id	completeness	contamination	heterogeneity
GCA_000634495.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634495.1_De_novo_assembly_of_single-cell_genomes_genomic	60.78	0.68	33.33
GCA_000635115.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635115.1_De_novo_assembly_of_single-cell_genomes_genomic	83.61	1.04	80.00
GCA_000635315.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635315.1_De_novo_assembly_of_single-cell_genomes_genomic	75.25	0.27	100.00
GCA_000635455.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635455.1_De_novo_assembly_of_single-cell_genomes_genomic	63.27	1.63	71.43
GCA_000634055.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634055.1_De_novo_assembly_of_single-cell_genomes_genomic	84.56	1.12	16.67
GCA_000634155.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634155.1_De_novo_assembly_of_single-cell_genomes_genomic	96.38	0.27	0.00
GCA_000634595.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634595.1_De_novo_assembly_of_single-cell_genomes_genomic	59.78	1.46	62.50
GCA_000635675.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635675.1_De_novo_assembly_of_single-cell_genomes_genomic	93.61	0.82	25.00
GCA_902614565.1_AG-891-L11_genomic	0	GCA_902614565.1_AG-891-L11_genomic	58.56	0.27	0.00
GCA_000633995.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000633995.1_De_novo_assembly_of_single-cell_genomes_genomic	66.60	1.18	16.67
GCA_000634635.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634635.1_De_novo_assembly_of_single-cell_genomes_genomic	59.59	0.91	0.00
GCA_902577725.1_AG-426-I23_genomic	0	GCA_902577725.1_AG-426-I23_genomic	53.29	0.00	0.00
GCA_902597005.1_AG-916-E18_genomic	0	GCA_902597005.1_AG-916-E18_genomic	54.62	0.00	0.00
GCA_003280645.1_ASM328064v1_genomic	0	GCA_003280645.1_ASM328064v1_genomic	67.37	0.00	0.00
GCA_000635135.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635135.1_De_novo_assembly_of_single-cell_genomes_genomic	82.84	0.14	50.00
GCA_000635195.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635195.1_De_novo_assembly_of_single-cell_genomes_genomic	86.19	1.36	50.00
GCA_000634915.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634915.1_De_novo_assembly_of_single-cell_genomes_genomic	81.70	2.17	11.11
GCA_000634075.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634075.1_De_novo_assembly_of_single-cell_genomes_genomic	64.86	0.95	75.00
GCA_902622295.1_AG-893-J19_genomic	0	GCA_902622295.1_AG-893-J19_genomic,GCA_902582195.1_AG-912-E02_genomic	71.69	0.05	0.00
GCA_000634355.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634355.1_De_novo_assembly_of_single-cell_genomes_genomic	53.86	0.69	50.00
GCA_000634975.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634975.1_De_novo_assembly_of_single-cell_genomes_genomic	91.98	0.63	0.00
GCA_000634035.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634035.1_De_novo_assembly_of_single-cell_genomes_genomic	68.76	0.28	100.00
GCA_003280835.1_ASM328083v1_genomic	0	GCA_003280835.1_ASM328083v1_genomic	93.70	0.00	0.00
GCA_000635815.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635815.1_De_novo_assembly_of_single-cell_genomes_genomic	87.18	0.41	0.00
GCA_000634995.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634995.1_De_novo_assembly_of_single-cell_genomes_genomic	92.45	0.23	0.00
GCA_902551545.1_AG-903-J11_genomic	0	GCA_902551545.1_AG-903-J11_genomic	66.98	0.00	0.00
GCA_000635075.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635075.1_De_novo_assembly_of_single-cell_genomes_genomic	81.97	0.14	0.00
GCA_000635435.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635435.1_De_novo_assembly_of_single-cell_genomes_genomic	84.01	1.04	33.33
GCA_902572285.1_AG-909-M16_genomic	1	GCA_902572285.1_AG-909-M16_genomic	59.28	0.27	0.00
GCA_003278605.1_ASM327860v1_genomic	1	GCA_003278605.1_ASM327860v1_genomic	94.88	0.68	66.67
GCA_001989415.1_ASM198941v1_genomic	1	GCA_001989415.1_ASM198941v1_genomic,GCA_001989435.1_ASM198943v1_genomic,GCA_001989455.1_ASM198945v1_genomic	99.73	0.09	0.00
GCA_003280735.1_ASM328073v1_genomic	1	GCA_003280735.1_ASM328073v1_genomic	74.34	0.00	0.00
GCA_902561415.1_AG-907-B11_genomic	1	GCA_902561415.1_AG-907-B11_genomic	75.40	0.00	0.00
GCA_902600275.1_AG-917-A21_genomic	1	GCA_902600275.1_AG-917-A21_genomic	68.52	0.00	0.00
GCA_003280685.1_ASM328068v1_genomic	1	GCA_003280685.1_ASM328068v1_genomic	90.85	0.00	0.00
GCA_003213335.1_ASM321333v1_genomic	1	GCA_003213335.1_ASM321333v1_genomic	88.99	0.00	0.00
GCA_902592295.1_AG-914-P03_genomic	1	GCA_902592295.1_AG-914-P03_genomic	80.71	0.00	0.00
GCA_002812945.1_ASM281294v1_genomic	1	GCA_002812945.1_ASM281294v1_genomic	99.18	0.00	0.00
GCA_902521235.1_AG-894-N05_genomic	1	GCA_902521235.1_AG-894-N05_genomic	94.43	0.00	0.00
GCA_902633145.1_AG-918-A18_genomic	2	GCA_902633145.1_AG-918-A18_genomic	62.64	0.27	0.00
GCA_902521405.1_AG-894-O08_genomic	2	GCA_902521405.1_AG-894-O08_genomic,GCA_902523415.1_AG-895-F05_genomic	88.01	0.54	0.00
GCA_003278685.1_ASM327868v1_genomic	2	GCA_003278685.1_ASM327868v1_genomic	80.25	0.00	0.00
GCA_902616515.1_AG-919-K04_genomic	2	GCA_902616515.1_AG-919-K04_genomic	68.93	0.00	0.00
GCA_003278665.1_ASM327866v1_genomic	2	GCA_003278665.1_ASM327866v1_genomic	55.17	0.00	0.00
GCA_902597705.1_AG-916-I03_genomic	3	GCA_902597705.1_AG-916-I03_genomic,GCA_003278635.1_ASM327863v1_genomic	71.80	0.00	0.00
GCA_000635715.1_De_novo_assembly_of_single-cell_genomes_genomic	3	GCA_000635715.1_De_novo_assembly_of_single-cell_genomes_genomic	88.29	0.28	0.00
GCA_902524975.1_AG-895-M05_genomic	3	GCA_902524975.1_AG-895-M05_genomic	75.43	0.00	0.00
GCA_000635015.1_De_novo_assembly_of_single-cell_genomes_genomic	3	GCA_000635015.1_De_novo_assembly_of_single-cell_genomes_genomic	94.63	0.00	0.00
GCA_902614405.1_AG-919-A15_genomic	4	GCA_902614405.1_AG-919-A15_genomic	61.82	0.00	0.00
GCA_000634095.1_De_novo_assembly_of_single-cell_genomes_genomic	4	GCA_000634095.1_De_novo_assembly_of_single-cell_genomes_genomic	92.62	1.39	16.67
GCA_902614465.1_AG-891-L07_genomic	4	GCA_902614465.1_AG-891-L07_genomic	53.76	0.00	0.00
GCA_902521125.1_AG-894-M14_genomic	4	GCA_902521125.1_AG-894-M14_genomic	78.67	0.27	100.00
GCA_902580925.1_AG-426-K10_genomic	4	GCA_902580925.1_AG-426-K10_genomic	71.06	0.14	0.00
GCA_902611085.1_AG-917-P01_genomic	4	GCA_902611085.1_AG-917-P01_genomic	50.27	0.00	0.00
GCA_902616055.1_AG-892-A23_genomic	4	GCA_902616055.1_AG-892-A23_genomic	83.61	0.00	0.00
GCA_902532695.1_AG-897-P05_genomic	4	GCA_902532695.1_AG-897-P05_genomic,GCA_902612525.1_AG-918-I04_genomic	65.93	0.00	0.00
GCA_902596215.1_AG-916-B16_genomic	4	GCA_902596215.1_AG-916-B16_genomic	80.65	0.00	0.00
GCA_902595155.1_AG-915-N19_genomic	4	GCA_902595155.1_AG-915-N19_genomic	56.20	0.00	0.00
GCA_003213315.1_ASM321331v1_genomic	4	GCA_003213315.1_ASM321331v1_genomic	56.25	0.00	0.00
GCA_902543475.1_AG-359-P22_genomic	4	GCA_902543475.1_AG-359-P22_genomic	65.94	0.54	100.00
GCA_003280965.1_ASM328096v1_genomic	4	GCA_003280965.1_ASM328096v1_genomic	95.70	0.00	0.00
GCA_902539515.1_AG-899-K05_genomic	4	GCA_902539515.1_AG-899-K05_genomic	59.11	0.00	0.00
GCA_003278775.1_ASM327877v1_genomic	4	GCA_003278775.1_ASM327877v1_genomic	50.86	0.00	0.00
GCA_902621495.1_AG-893-F20_genomic	4	GCA_902621495.1_AG-893-F20_genomic	81.70	0.00	0.00
GCA_902624115.1_AG-893-P17_genomic	4	GCA_902624115.1_AG-893-P17_genomic	61.28	0.00	0.00
GCA_003210175.1_ASM321017v1_genomic	4	GCA_003210175.1_ASM321017v1_genomic	80.39	0.00	0.00
GCA_003280655.1_ASM328065v1_genomic	5	GCA_003280655.1_ASM328065v1_genomic,GCA_902584875.1_AG-912-P07_genomic	94.61	0.00	0.00
GCA_902573135.1_AG-422-I21_genomic	5	GCA_902573135.1_AG-422-I21_genomic	85.55	0.00	0.00
GCA_003281235.1_ASM328123v1_genomic	5	GCA_003281235.1_ASM328123v1_genomic	61.87	0.00	0.00
GCA_902619865.1_AG-892-O21_genomic	6	GCA_902619865.1_AG-892-O21_genomic	53.08	0.00	0.00
GCA_902520485.1_AG-894-K10_genomic	6	GCA_902520485.1_AG-894-K10_genomic	86.28	0.00	0.00
GCA_902519705.1_AG-894-G22_genomic	7	GCA_902519705.1_AG-894-G22_genomic	83.65	0.27	0.00
GCA_003280935.1_ASM328093v1_genomic	7	GCA_003280935.1_ASM328093v1_genomic	79.38	0.00	0.00
GCA_902541645.1_AG-900-B11_genomic	7	GCA_902541645.1_AG-900-B11_genomic	65.99	0.00	0.00
GCA_902588035.1_AG-913-J11_genomic	7	GCA_902588035.1_AG-913-J11_genomic	75.23	0.00	0.00
GCA_902519535.1_AG-894-G16_genomic	8	GCA_902519535.1_AG-894-G16_genomic	79.21	0.00	0.00
GCA_000635595.1_De_novo_assembly_of_single-cell_genomes_genomic	8	GCA_000635595.1_De_novo_assembly_of_single-cell_genomes_genomic	76.09	1.09	25.00
GCA_000634735.1_De_novo_assembly_of_single-cell_genomes_genomic	8	GCA_000634735.1_De_novo_assembly_of_single-cell_genomes_genomic	93.43	0.41	50.00
GCA_000635515.1_De_novo_assembly_of_single-cell_genomes_genomic	8	GCA_000635515.1_De_novo_assembly_of_single-cell_genomes_genomic	57.07	1.27	33.33
GCA_902521995.1_AG-894-P13_genomic	9	GCA_902521995.1_AG-894-P13_genomic	93.25	0.00	0.00
GCA_902542055.1_AG-900-C22_genomic	9	GCA_902542055.1_AG-900-C22_genomic	56.71	0.00	0.00
GCA_002025905.1_ASM202590v1_genomic	10	GCA_002025905.1_ASM202590v1_genomic	79.94	0.27	100.00
GCA_902620875.1_AG-893-D02_genomic	10	GCA_902620875.1_AG-893-D02_genomic	52.53	0.00	0.00
GCA_003278585.1_ASM327858v1_genomic	10	GCA_003278585.1_ASM327858v1_genomic	91.17	0.27	0.00
GCA_002026095.1_ASM202609v1_genomic	11	GCA_002026095.1_ASM202609v1_genomic	63.36	4.88	61.90
GCA_002026165.1_ASM202616v1_genomic	11	GCA_002026165.1_ASM202616v1_genomic	84.21	1.28	25.00
GCA_902612005.1_AG-918-F13_genomic	12	GCA_902612005.1_AG-918-F13_genomic	92.10	0.00	0.00
GCA_902575525.1_AG-910-J04_genomic	12	GCA_902575525.1_AG-910-J04_genomic	67.85	0.00	0.00
GCA_000634515.1_De_novo_assembly_of_single-cell_genomes_genomic	13	GCA_000634515.1_De_novo_assembly_of_single-cell_genomes_genomic	92.44	1.22	40.00
GCA_902564255.1_AG-404-O15_genomic	13	GCA_902564255.1_AG-404-O15_genomic	80.39	0.54	100.00
GCA_902596945.1_AG-453-A13_genomic	14	GCA_902596945.1_AG-453-A13_genomic	55.03	0.00	0.00
GCA_902598035.1_AG-453-F21_genomic	14	GCA_902598035.1_AG-453-F21_genomic	59.94	0.27	0.00
GCA_003278535.1_ASM327853v1_genomic	15	GCA_003278535.1_ASM327853v1_genomic	88.72	0.14	0.00
GCA_902565195.1_AG-907-P07_genomic	15	GCA_902565195.1_AG-907-P07_genomic	77.11	0.27	0.00
GCA_902601255.1_AG-917-E11_genomic	15	GCA_902601255.1_AG-917-E11_genomic	81.75	0.27	0.00
GCA_000634275.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000634275.1_De_novo_assembly_of_single-cell_genomes_genomic	82.70	1.14	28.57
GCA_902551645.1_AG-901-O19_genomic	16	GCA_902551645.1_AG-901-O19_genomic	70.56	0.72	100.00
GCA_000635215.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000635215.1_De_novo_assembly_of_single-cell_genomes_genomic	59.11	2.26	33.33
GCA_902623015.1_AG-893-M02_genomic	16	GCA_902623015.1_AG-893-M02_genomic	77.12	0.00	0.00
GCA_902533015.1_AG-898-A19_genomic	16	GCA_902533015.1_AG-898-A19_genomic	77.43	0.27	0.00
GCA_000634795.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000634795.1_De_novo_assembly_of_single-cell_genomes_genomic	94.57	0.27	0.00
GCA_000634175.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000634175.1_De_novo_assembly_of_single-cell_genomes_genomic	90.13	0.68	33.33
GCA_000634255.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000634255.1_De_novo_assembly_of_single-cell_genomes_genomic	91.71	2.17	50.00
GCA_000635755.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000635755.1_De_novo_assembly_of_single-cell_genomes_genomic	77.72	1.02	28.57
GCA_003280815.1_ASM328081v1_genomic	16	GCA_003280815.1_ASM328081v1_genomic	71.78	0.09	0.00
GCA_902537995.1_AG-899-E18_genomic	16	GCA_902537995.1_AG-899-E18_genomic	73.01	0.00	0.00
GCA_902619715.1_AG-892-O15_genomic	16	GCA_902619715.1_AG-892-O15_genomic	72.35	0.36	0.00
GCA_902618405.1_AG-892-J14_genomic	16	GCA_902618405.1_AG-892-J14_genomic	64.31	0.00	0.00
GCA_000635395.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000635395.1_De_novo_assembly_of_single-cell_genomes_genomic	86.60	0.56	33.33
GCA_000635095.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000635095.1_De_novo_assembly_of_single-cell_genomes_genomic	83.80	1.31	42.86
GCA_902555385.1_AG-904-J02_genomic	16	GCA_902555385.1_AG-904-J02_genomic	60.22	0.00	0.00
GCA_000635055.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000635055.1_De_novo_assembly_of_single-cell_genomes_genomic	83.38	1.36	40.00
GCA_003280805.1_ASM328080v1_genomic	16	GCA_003280805.1_ASM328080v1_genomic	86.87	0.00	0.00
GCA_000634375.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000634375.1_De_novo_assembly_of_single-cell_genomes_genomic	97.39	0.77	25.00
GCA_000634215.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000634215.1_De_novo_assembly_of_single-cell_genomes_genomic	97.74	0.54	50.00
GCA_000634335.1_De_novo_assembly_of_single-cell_genomes_genomic	16	GCA_000634335.1_De_novo_assembly_of_single-cell_genomes_genomic	85.51	0.54	0.00
GCA_002026065.1_ASM202606v1_genomic	18	GCA_002026065.1_ASM202606v1_genomic	74.91	2.97	60.00
GCA_002026105.1_ASM202610v1_genomic	18	GCA_002026105.1_ASM202610v1_genomic	58.16	1.12	40.00
GCA_002026015.1_ASM202601v1_genomic	18	GCA_002026015.1_ASM202601v1_genomic	80.41	1.71	75.00
GCA_002026145.1_ASM202614v1_genomic	19	GCA_002026145.1_ASM202614v1_genomic	74.13	1.63	57.14
GCA_002156565.1_ASM215656v1_genomic	19	GCA_002156565.1_ASM215656v1_genomic	53.42	3.11	50.00
GCA_902539785.1_AG-359-B02_genomic	20	GCA_902539785.1_AG-359-B02_genomic	52.04	0.00	0.00
GCA_000760035.1_ASM76003v1_genomic	20	GCA_000760035.1_ASM76003v1_genomic	99.73	0.00	0.00
GCA_902615195.1_AG-919-E02_genomic	21	GCA_902615195.1_AG-919-E02_genomic	67.62	0.03	0.00
GCA_902622435.1_AG-893-K05_genomic	21	GCA_902622435.1_AG-893-K05_genomic	96.74	0.00	0.00
GCA_003278625.1_ASM327862v1_genomic	21	GCA_003278625.1_ASM327862v1_genomic	85.39	0.00	0.00
GCA_003279115.1_ASM327911v1_genomic	22	GCA_003279115.1_ASM327911v1_genomic	86.01	0.00	0.00
GCA_003281445.1_ASM328144v1_genomic	22	GCA_003281445.1_ASM328144v1_genomic	89.09	0.27	0.00
GCA_902544495.1_AG-900-L19_genomic	23	GCA_902544495.1_AG-900-L19_genomic	65.67	0.27	0.00
GCA_002026045.1_ASM202604v1_genomic	23	GCA_002026045.1_ASM202604v1_genomic	52.33	1.09	25.00
GCA_902561365.1_AG-404-D14_genomic	24	GCA_902561365.1_AG-404-D14_genomic	90.14	0.27	0.00
GCA_003279485.1_ASM327948v1_genomic	24	GCA_003279485.1_ASM327948v1_genomic	88.67	0.00	0.00
GCA_003216635.1_ASM321663v1_genomic	24	GCA_003216635.1_ASM321663v1_genomic	95.79	0.00	0.00
GCA_902595095.1_AG-915-N20_genomic	25	GCA_902595095.1_AG-915-N20_genomic	72.55	0.00	0.00
GCA_902534475.1_AG-898-G03_genomic	25	GCA_902534475.1_AG-898-G03_genomic	70.74	0.00	0.00
GCA_902582995.1_AG-912-G18_genomic	26	GCA_902582995.1_AG-912-G18_genomic	50.00	0.00	0.00
GCA_902572075.1_AG-909-M08_genomic	26	GCA_902572075.1_AG-909-M08_genomic	71.20	0.27	0.00
GCA_003280545.1_ASM328054v1_genomic	27	GCA_003280545.1_ASM328054v1_genomic	74.67	0.27	0.00
GCA_000015965.1_ASM1596v1_genomic	27	GCA_000015965.1_ASM1596v1_genomic	99.46	0.00	0.00
GCA_902574545.1_AG-910-E10_genomic	28	GCA_902574545.1_AG-910-E10_genomic	83.87	0.00	0.00
GCA_000635355.1_De_novo_assembly_of_single-cell_genomes_genomic	28	GCA_000635355.1_De_novo_assembly_of_single-cell_genomes_genomic	92.44	0.63	33.33
GCA_902599535.1_AG-916-O09_genomic	29	GCA_902599535.1_AG-916-O09_genomic	59.69	0.27	0.00
GCA_902572595.1_AG-909-N23_genomic	29	GCA_902572595.1_AG-909-N23_genomic	61.71	0.00	0.00
GCA_003278735.1_ASM327873v1_genomic	30	GCA_003278735.1_ASM327873v1_genomic,GCA_902582575.1_AG-912-C20_genomic	91.91	0.00	0.00
GCA_000759855.1_ASM75985v1_genomic	31	GCA_000759855.1_ASM75985v1_genomic,GCA_000759935.1_ASM75993v1_genomic,GCA_000759865.1_ASM75986v1_genomic	99.46	0.00	0.00
GCA_000760095.1_ASM76009v1_genomic	32	GCA_000760095.1_ASM76009v1_genomic,GCA_000760055.1_ASM76005v1_genomic,GCA_000760075.1_ASM76007v1_genomic	99.73	0.41	100.00
GCA_000012645.1_ASM1264v1_genomic	33	GCA_000760015.1_ASM76001v1_genomic,GCA_000012645.1_ASM1264v1_genomic	99.73	0.00	0.00
GCA_003214815.1_ASM321481v1_genomic	34	GCA_003214815.1_ASM321481v1_genomic	97.11	0.00	0.00
GCA_003280575.1_ASM328057v1_genomic	35	GCA_003280575.1_ASM328057v1_genomic	92.53	0.00	0.00
GCA_001180245.1_CLC_assembled_contigs_genomic	36	GCA_001180245.1_CLC_assembled_contigs_genomic	87.38	0.27	0.00
GCA_902550485.1_AG-903-E23_genomic	37	GCA_902550485.1_AG-903-E23_genomic	51.72	0.00	0.00
GCA_003216455.1_ASM321645v1_genomic	38	GCA_003216455.1_ASM321645v1_genomic	64.04	0.27	100.00
GCA_902620895.1_AG-920-M14_genomic	39	GCA_902620895.1_AG-920-M14_genomic	91.17	0.00	0.00
GCA_003281485.1_ASM328148v1_genomic	40	GCA_003281485.1_ASM328148v1_genomic	90.67	0.00	0.00
GCA_902571335.1_AG-422-C15_genomic	41	GCA_902571335.1_AG-422-C15_genomic	90.35	0.00	0.00
GCA_902617605.1_AG-892-G09_genomic	42	GCA_902617605.1_AG-892-G09_genomic	70.12	0.00	0.00
GCA_003216355.1_ASM321635v1_genomic	43	GCA_003216355.1_ASM321635v1_genomic	81.79	0.00	0.00
GCA_902574405.1_AG-422-M20_genomic	44	GCA_902574405.1_AG-422-M20_genomic	53.28	0.00	0.00
GCA_902594875.1_AG-915-K06_genomic	45	GCA_902594875.1_AG-915-K06_genomic	88.72	0.00	0.00
GCA_902572675.1_AG-422-G18_genomic	46	GCA_902572675.1_AG-422-G18_genomic	60.01	0.00	0.00
GCA_003279105.1_ASM327910v1_genomic	47	GCA_003279105.1_ASM327910v1_genomic	93.34	0.00	0.00
GCA_003212245.1_ASM321224v1_genomic	48	GCA_003212245.1_ASM321224v1_genomic	72.82	0.27	100.00
GCA_000634115.1_De_novo_assembly_of_single-cell_genomes_genomic	49	GCA_000634115.1_De_novo_assembly_of_single-cell_genomes_genomic	91.58	0.36	50.00
GCA_902561565.1_AG-404-E19_genomic	50	GCA_902561565.1_AG-404-E19_genomic	73.60	0.00	0.00
GCA_902538225.1_AG-349-M17_genomic	51	GCA_902538225.1_AG-349-M17_genomic	65.76	0.00	0.00
GCA_000634295.1_De_novo_assembly_of_single-cell_genomes_genomic	52	GCA_000634295.1_De_novo_assembly_of_single-cell_genomes_genomic	92.07	0.59	0.00
GCA_003214235.1_ASM321423v1_genomic	53	GCA_003214235.1_ASM321423v1_genomic	68.34	0.00	0.00
GCA_003281505.1_ASM328150v1_genomic	54	GCA_003281505.1_ASM328150v1_genomic	91.17	0.00	0.00
