OG	GCA_000634175__GCA_000634215	GCA_000634175__GCA_000634255	GCA_000634175__GCA_000634275	GCA_000634175__GCA_000634335	GCA_000634175__GCA_000634375	GCA_000634175__GCA_000634795	GCA_000634175__GCA_000635055	GCA_000634175__GCA_000635095	GCA_000634175__GCA_000635215	GCA_000634175__GCA_000635395	GCA_000634175__GCA_000635755	GCA_000634175__GCA_003280805	GCA_000634175__GCA_003280815	GCA_000634175__GCA_902533015	GCA_000634175__GCA_902537995	GCA_000634175__GCA_902551645	GCA_000634175__GCA_902555385	GCA_000634175__GCA_902618405	GCA_000634175__GCA_902619715	GCA_000634175__GCA_902623015	GCA_000634215__GCA_000634255	GCA_000634215__GCA_000634275	GCA_000634215__GCA_000634335	GCA_000634215__GCA_000634375	GCA_000634215__GCA_000634795	GCA_000634215__GCA_000635055	GCA_000634215__GCA_000635095	GCA_000634215__GCA_000635215	GCA_000634215__GCA_000635395	GCA_000634215__GCA_000635755	GCA_000634215__GCA_003280805	GCA_000634215__GCA_003280815	GCA_000634215__GCA_902533015	GCA_000634215__GCA_902537995	GCA_000634215__GCA_902551645	GCA_000634215__GCA_902555385	GCA_000634215__GCA_902618405	GCA_000634215__GCA_902619715	GCA_000634215__GCA_902623015	GCA_000634255__GCA_000634275	GCA_000634255__GCA_000634335	GCA_000634255__GCA_000634375	GCA_000634255__GCA_000634795	GCA_000634255__GCA_000635055	GCA_000634255__GCA_000635095	GCA_000634255__GCA_000635215	GCA_000634255__GCA_000635395	GCA_000634255__GCA_000635755	GCA_000634255__GCA_003280805	GCA_000634255__GCA_003280815	GCA_000634255__GCA_902533015	GCA_000634255__GCA_902537995	GCA_000634255__GCA_902551645	GCA_000634255__GCA_902555385	GCA_000634255__GCA_902618405	GCA_000634255__GCA_902619715	GCA_000634255__GCA_902623015	GCA_000634275__GCA_000634335	GCA_000634275__GCA_000634375	GCA_000634275__GCA_000634795	GCA_000634275__GCA_000635055	GCA_000634275__GCA_000635095	GCA_000634275__GCA_000635215	GCA_000634275__GCA_000635395	GCA_000634275__GCA_000635755	GCA_000634275__GCA_003280805	GCA_000634275__GCA_003280815	GCA_000634275__GCA_902533015	GCA_000634275__GCA_902537995	GCA_000634275__GCA_902551645	GCA_000634275__GCA_902555385	GCA_000634275__GCA_902618405	GCA_000634275__GCA_902619715	GCA_000634275__GCA_902623015	GCA_000634335__GCA_000634375	GCA_000634335__GCA_000634795	GCA_000634335__GCA_000635055	GCA_000634335__GCA_000635095	GCA_000634335__GCA_000635215	GCA_000634335__GCA_000635395	GCA_000634335__GCA_000635755	GCA_000634335__GCA_003280805	GCA_000634335__GCA_003280815	GCA_000634335__GCA_902533015	GCA_000634335__GCA_902537995	GCA_000634335__GCA_902551645	GCA_000634335__GCA_902555385	GCA_000634335__GCA_902618405	GCA_000634335__GCA_902619715	GCA_000634335__GCA_902623015	GCA_000634375__GCA_000634795	GCA_000634375__GCA_000635055	GCA_000634375__GCA_000635095	GCA_000634375__GCA_000635215	GCA_000634375__GCA_000635395	GCA_000634375__GCA_000635755	GCA_000634375__GCA_003280805	GCA_000634375__GCA_003280815	GCA_000634375__GCA_902533015	GCA_000634375__GCA_902537995	GCA_000634375__GCA_902551645	GCA_000634375__GCA_902555385	GCA_000634375__GCA_902618405	GCA_000634375__GCA_902619715	GCA_000634375__GCA_902623015	GCA_000634795__GCA_000635055	GCA_000634795__GCA_000635095	GCA_000634795__GCA_000635215	GCA_000634795__GCA_000635395	GCA_000634795__GCA_000635755	GCA_000634795__GCA_003280805	GCA_000634795__GCA_003280815	GCA_000634795__GCA_902533015	GCA_000634795__GCA_902537995	GCA_000634795__GCA_902551645	GCA_000634795__GCA_902555385	GCA_000634795__GCA_902618405	GCA_000634795__GCA_902619715	GCA_000634795__GCA_902623015	GCA_000635055__GCA_000635095	GCA_000635055__GCA_000635215	GCA_000635055__GCA_000635395	GCA_000635055__GCA_000635755	GCA_000635055__GCA_003280805	GCA_000635055__GCA_003280815	GCA_000635055__GCA_902533015	GCA_000635055__GCA_902537995	GCA_000635055__GCA_902551645	GCA_000635055__GCA_902555385	GCA_000635055__GCA_902618405	GCA_000635055__GCA_902619715	GCA_000635055__GCA_902623015	GCA_000635095__GCA_000635215	GCA_000635095__GCA_000635395	GCA_000635095__GCA_000635755	GCA_000635095__GCA_003280805	GCA_000635095__GCA_003280815	GCA_000635095__GCA_902533015	GCA_000635095__GCA_902537995	GCA_000635095__GCA_902551645	GCA_000635095__GCA_902555385	GCA_000635095__GCA_902618405	GCA_000635095__GCA_902619715	GCA_000635095__GCA_902623015	GCA_000635215__GCA_000635395	GCA_000635215__GCA_000635755	GCA_000635215__GCA_003280805	GCA_000635215__GCA_003280815	GCA_000635215__GCA_902533015	GCA_000635215__GCA_902537995	GCA_000635215__GCA_902551645	GCA_000635215__GCA_902555385	GCA_000635215__GCA_902618405	GCA_000635215__GCA_902619715	GCA_000635215__GCA_902623015	GCA_000635395__GCA_000635755	GCA_000635395__GCA_003280805	GCA_000635395__GCA_003280815	GCA_000635395__GCA_902533015	GCA_000635395__GCA_902537995	GCA_000635395__GCA_902551645	GCA_000635395__GCA_902555385	GCA_000635395__GCA_902618405	GCA_000635395__GCA_902619715	GCA_000635395__GCA_902623015	GCA_000635755__GCA_003280805	GCA_000635755__GCA_003280815	GCA_000635755__GCA_902533015	GCA_000635755__GCA_902537995	GCA_000635755__GCA_902551645	GCA_000635755__GCA_902555385	GCA_000635755__GCA_902618405	GCA_000635755__GCA_902619715	GCA_000635755__GCA_902623015	GCA_003280805__GCA_003280815	GCA_003280805__GCA_902533015	GCA_003280805__GCA_902537995	GCA_003280805__GCA_902551645	GCA_003280805__GCA_902555385	GCA_003280805__GCA_902618405	GCA_003280805__GCA_902619715	GCA_003280805__GCA_902623015	GCA_003280815__GCA_902533015	GCA_003280815__GCA_902537995	GCA_003280815__GCA_902551645	GCA_003280815__GCA_902555385	GCA_003280815__GCA_902618405	GCA_003280815__GCA_902619715	GCA_003280815__GCA_902623015	GCA_902533015__GCA_902537995	GCA_902533015__GCA_902551645	GCA_902533015__GCA_902555385	GCA_902533015__GCA_902618405	GCA_902533015__GCA_902619715	GCA_902533015__GCA_902623015	GCA_902537995__GCA_902551645	GCA_902537995__GCA_902555385	GCA_902537995__GCA_902618405	GCA_902537995__GCA_902619715	GCA_902537995__GCA_902623015	GCA_902551645__GCA_902555385	GCA_902551645__GCA_902618405	GCA_902551645__GCA_902619715	GCA_902551645__GCA_902623015	GCA_902555385__GCA_902618405	GCA_902555385__GCA_902619715	GCA_902555385__GCA_902623015	GCA_902618405__GCA_902619715	GCA_902618405__GCA_902623015	GCA_902619715__GCA_902623015
OG0000217	0.0095	0.0095	-	0.0095	0.0193	0.0095	0.0095	0.0095	0.0095	0.0095	0.0095	0.0095	0.0095	0.0795	0.0095	-	0.0095	0.0095	0.0095	0.0913	0	-	0	0.0097	0	0	0	0	0	0	0	0	0.0697	0	-	0	0	0	0.0813	-	0	0.0097	0	0	0	0	0	0	0	0	0.0695	0	-	0	0	0	0.0811	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0097	0	0	0	0	0	0	0	0	0.0695	0	-	0	0	0	0.0811	0.0097	0.0097	0.0097	0.0097	0.0097	0.0097	0.0097	0.0097	0.0809	0.0097	-	0.0097	0.0097	0.0097	0.0929	0	0	0	0	0	0	0	0.0695	0	-	0	0	0	0.0811	0	0	0	0	0	0	0.0695	0	-	0	0	0	0.0811	0	0	0	0	0	0.0695	0	-	0	0	0	0.0811	0	0	0	0	0.0695	0	-	0	0	0	0.0811	0	0	0	0.0695	0	-	0	0	0	0.0811	0	0	0.0695	0	-	0	0	0	0.0811	0	0.0695	0	-	0	0	0	0.0811	0.0695	0	-	0	0	0	0.0811	0.0695	-	0.0695	0.0695	0.0695	0.1048	-	0	0	0	0.0811	-	-	-	-	0	0	0.0811	0	0.0811	0.0811
OG0000218	0	0	-	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	0.0125	0.0817	0	-	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	0.0125	0.0817	-	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	0.0125	0.0817	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	0	0	0	0	0	0	-	0	0	0.0125	0.0817	0	0	0	-	0	0	0	0	0	0	-	0	0	0.0125	0.0817	0	0	-	0	0	0	0	0	0	-	0	0	0.0125	0.0817	0	-	0	0	0	0	0	0	-	0	0	0.0125	0.0817	-	0	0	0	0	0	0	-	0	0	0.0125	0.0817	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	-	0	0	0.0125	0.0817	0	0	0	0	-	0	0	0.0125	0.0817	0	0	0	-	0	0	0.0125	0.0817	0	0	-	0	0	0.0125	0.0817	0	-	0	0	0.0125	0.0817	-	0	0	0.0125	0.0817	-	-	-	-	0	0.0125	0.0817	0.0125	0.0817	0.0949
OG0000219	0	0	0	0	0.0096	0	0.0095	0.0048	-	0	0	0.0048	-	-	0	0	0	0.0048	0	0	0	0	0	0.0096	0	0.0095	0.0048	-	0	0	0.0048	-	-	0	0	0	0.0048	0	0	0	0	0.0096	0	0.0095	0.0048	-	0	0	0.0048	-	-	0	0	0	0.0048	0	0	0	0.0096	0	0.0095	0.0048	-	0	0	0.0048	-	-	0	0	0	0.0048	0	0	0.0096	0	0.0095	0.0048	-	0	0	0.0048	-	-	0	0	0	0.0048	0	0	0.0096	0.0192	0.0145	-	0.0096	0.0096	0.0145	-	-	0.0096	0.0096	0.0096	0.0145	0.0096	0.0096	0.0095	0.0048	-	0	0	0.0048	-	-	0	0	0	0.0048	0	0	0.0144	-	0.0095	0.0095	0.0144	-	-	0.0095	0.0095	0.0095	0.0144	0.0095	0.0095	-	0.0048	0.0048	0.0096	-	-	0.0048	0.0048	0.0048	0.0096	0.0048	0.0048	-	-	-	-	-	-	-	-	-	-	-	0	0.0048	-	-	0	0	0	0.0048	0	0	0.0048	-	-	0	0	0	0.0048	0	0	-	-	0.0048	0.0048	0.0048	0	0.0048	0.0048	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.0048	0	0	0	0.0048	0	0	0.0048	0	0	0.0048	0.0048	0
OG0000220	0	0	0	0	0	0	-	0.0213	-	0	0	0.1958	-	0.5982	0	0	0	-	0	0	0	0	0	0	0	-	0.0213	-	0	0	0.1956	-	0.5972	0	0	0	-	0	0	0	0	0	0	-	0.0213	-	0	0	0.1958	-	0.5982	0	0	0	-	0	0	0	0	0	-	0.0213	-	0	0	0.1958	-	0.5982	0	0	0	-	0	0	0	0	-	0.0213	-	0	0	0.1958	-	0.5982	0	0	0	-	0	0	0	-	0.0212	-	0	0	0.1950	-	0.5843	0	0	0	-	0	0	-	0.0212	-	0	0	0.1952	-	0.5958	0	0	0	-	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0213	0.0213	0.2290	-	0.5784	0.0213	0.0213	0.0213	-	0.0211	0.0213	-	-	-	-	-	-	-	-	-	-	-	0	0.1958	-	0.5982	0	0	0	-	0	0	0.1957	-	0.5976	0	0	0	-	0	0	-	0.7616	0.1958	0.1958	0.1958	-	0.1876	0.1958	-	-	-	-	-	-	-	0.5982	0.5982	0.5982	-	0.5804	0.5982	0	0	-	0	0	0	-	0	0	-	0	0	-	-	0
OG0000221	0	0	0	0.0147	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0.0147	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0.0147	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0.0147	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0.0147	0.0147	0.0147	-	-	0.0147	0.0147	0.0147	0.0147	0.0146	0.0147	0.0147	0.0147	0.0147	-	0.0147	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	-	-	0	0	0	0	0	0	0	0	0	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	0	0	0	-	0	0	0	0	-	0	0	0	-	0	0	-	0	-	0	-
OG0000223	0	0	0	0	0	0	0.0409	0	0	0	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	0.0409	0	0	0	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0.0409	0	0	0	-	0	0	-	0	0	0	-	0	0	0	0	0	0.0409	0	0	0	-	0	0	-	0	0	0	-	0	0	0	0	0.0409	0	0	0	-	0	0	-	0	0	0	-	0	0	0	0.0409	0	0	0	-	0	0	-	0	0	0	-	0	0	0.0409	0	0	0	-	0	0	-	0	0	0	-	0	0	0.0409	0.0409	0.0409	-	0.0409	0.0409	-	0.0409	0.0409	0.0409	-	0.0409	0.0409	0	0	-	0	0	-	0	0	0	-	0	0	0	-	0	0	-	0	0	0	-	0	0	-	0	0	-	0	0	0	-	0	0	-	-	-	-	-	-	-	-	-	0	-	0	0	0	-	0	0	-	0	0	0	-	0	0	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	-	0	0	-	-	0
OG0000224	0.0122	0.0061	0	0.0061	0.0122	0	0	-	0	0	0	0	0	0	0.0061	0	0	0	0.0061	0	0.0183	0.0122	0.0183	0	0.0122	0.0122	-	0.0122	0.0122	0.0122	0.0122	0.0122	0.0122	0.0184	0.0122	0.0122	0.0122	0.0182	0.0122	0.0061	0.0121	0.0183	0.0061	0.0061	-	0.0061	0.0061	0.0061	0.0061	0.0061	0.0061	0.0122	0.0061	0.0061	0.0061	0.0121	0.0061	0.0061	0.0122	0	0	-	0	0	0	0	0	0	0.0061	0	0	0	0.0061	0	0.0183	0.0061	0.0061	-	0.0061	0.0061	0.0061	0.0061	0.0061	0.0061	0.0122	0.0061	0.0061	0.0061	0.0121	0.0061	0.0122	0.0122	-	0.0122	0.0122	0.0122	0.0122	0.0122	0.0122	0.0184	0.0122	0.0122	0.0122	0.0182	0.0122	0	-	0	0	0	0	0	0	0.0061	0	0	0	0.0061	0	-	0	0	0	0	0	0	0.0061	0	0	0	0.0061	0	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0.0061	0	0	0	0.0061	0	0	0	0	0	0.0061	0	0	0	0.0061	0	0	0	0	0.0061	0	0	0	0.0061	0	0	0	0.0061	0	0	0	0.0061	0	0	0.0061	0	0	0	0.0061	0	0.0061	0	0	0	0.0061	0	0.0061	0.0061	0.0061	0.0122	0.0061	0	0	0.0061	0	0	0.0061	0	0.0061	0	0.0061
OG0000226	0	0	0	0	0.0414	-	0	0	0	0	0	0.0419	0	0	0	0	-	-	0	0	0	0	0	0.0414	-	0	0	0	0	0	0.0419	0	0	0	0	-	-	0	0	0	0	0.0414	-	0	0	0	0	0	0.0419	0	0	0	0	-	-	0	0	0	0.0414	-	0	0	0	0	0	0.0419	0	0	0	0	-	-	0	0	0.0414	-	0	0	0	0	0	0.0419	0	0	0	0	-	-	0	0	-	0.0414	0.0414	0.0414	0.0414	0.0414	0.0820	0.0414	0.0414	0.0414	0.0414	-	-	0.0414	0.0414	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0.0419	0	0	0	0	-	-	0	0	0	0	0	0.0419	0	0	0	0	-	-	0	0	0	0	0.0419	0	0	0	0	-	-	0	0	0	0.0419	0	0	0	0	-	-	0	0	0.0419	0	0	0	0	-	-	0	0	0.0419	0.0419	0.0419	0.0419	-	-	0.0419	0.0419	0	0	0	-	-	0	0	0	0	-	-	0	0	0	-	-	0	0	-	-	0	0	-	-	-	-	-	0
OG0000227	0.0088	0	0	0	0.0089	-	0	0	0	0	0	0	0.0088	0	-	-	-	0	0	0	0.0088	0.0088	0.0088	0.0179	-	0.0088	0.0088	0.0088	0.0088	0.0088	0.0088	0.0178	0.0088	-	-	-	0.0088	0.0088	0.0088	0	0	0.0089	-	0	0	0	0	0	0	0.0088	0	-	-	-	0	0	0	0	0.0089	-	0	0	0	0	0	0	0.0088	0	-	-	-	0	0	0	0.0089	-	0	0	0	0	0	0	0.0088	0	-	-	-	0	0	0	-	0.0089	0.0089	0.0089	0.0089	0.0089	0.0089	0.0179	0.0089	-	-	-	0.0089	0.0089	0.0089	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0.0088	0	-	-	-	0	0	0	0	0	0	0	0.0088	0	-	-	-	0	0	0	0	0	0	0.0088	0	-	-	-	0	0	0	0	0	0.0088	0	-	-	-	0	0	0	0	0.0088	0	-	-	-	0	0	0	0.0088	0	-	-	-	0	0	0	0.0088	-	-	-	0.0088	0.0088	0.0088	-	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
OG0000230	0.0342	0.0067	0.0067	0.0067	0.0203	0.0067	0.0067	0.0067	0.0067	0.0067	0.0067	0.0067	0.0067	0.0067	0.0067	0.0067	0.0274	0.0067	0.0136	0.0136	0.0273	0.0273	0.0273	0.0415	0.0273	0.0273	0.0273	0.0273	0.0273	0.0273	0.0273	0.0273	0.0273	0.0273	0.0273	0.0490	0.0273	0.0345	0.0346	0	0	0.0135	0	0	0	0	0	0	0	0	0	0	0	0.0205	0	0.0068	0.0068	0	0.0135	0	0	0	0	0	0	0	0	0	0	0	0.0205	0	0.0068	0.0068	0.0135	0	0	0	0	0	0	0	0	0	0	0	0.0205	0	0.0068	0.0068	0.0135	0.0135	0.0135	0.0135	0.0135	0.0135	0.0135	0.0135	0.0135	0.0135	0.0135	0.0347	0.0135	0.0205	0.0205	0	0	0	0	0	0	0	0	0	0	0.0205	0	0.0068	0.0068	0	0	0	0	0	0	0	0	0	0.0205	0	0.0068	0.0068	0	0	0	0	0	0	0	0	0.0205	0	0.0068	0.0068	0	0	0	0	0	0	0	0.0205	0	0.0068	0.0068	0	0	0	0	0	0	0.0205	0	0.0068	0.0068	0	0	0	0	0	0.0205	0	0.0068	0.0068	0	0	0	0	0.0205	0	0.0068	0.0068	0	0	0	0.0205	0	0.0068	0.0068	0	0	0.0205	0	0.0068	0.0068	0	0.0205	0	0.0068	0.0068	0.0205	0	0.0068	0.0068	0.0205	0.0277	0.0278	0.0068	0.0068	0.0137
OG0000231	0.0054	0.0054	0	0.0053	0.1175	0	0	0	0	0	0.3007	0	-	-	0	0	-	0	-	0.0054	0.0108	0.0054	0.0107	0.1237	0.0054	0.0054	0.0054	0.0054	0.0054	0.3087	0.0054	-	-	0.0054	0.0054	-	0.0054	-	0.0108	0.0054	0.0108	0.1246	0.0054	0.0054	0.0054	0.0054	0.0054	0.3113	0.0054	-	-	0.0054	0.0054	-	0.0054	-	0.0109	0.0053	0.1175	0	0	0	0	0	0.3007	0	-	-	0	0	-	0	-	0.0054	0.1230	0.0053	0.0053	0.0053	0.0053	0.0053	0.3064	0.0053	-	-	0.0053	0.0053	-	0.0053	-	0.0107	0.1175	0.1175	0.1174	0.1175	0.1175	0.2150	0.1175	-	-	0.1175	0.1175	-	0.1175	-	0.1244	0	0	0	0	0.3007	0	-	-	0	0	-	0	-	0.0054	0	0	0	0.3007	0	-	-	0	0	-	0	-	0.0054	0	0	0.2928	0	-	-	0	0	-	0	-	0.0054	0	0.3007	0	-	-	0	0	-	0	-	0.0054	0.3007	0	-	-	0	0	-	0	-	0.0054	0.3007	-	-	0.3007	0.3007	-	0.3007	-	0.3105	-	-	0	0	-	0	-	0.0054	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	-	0.0054	-	0	-	0.0054	-	-	-	-	0.0054	-
OG0000232	0.0158	0.0079	0.0078	-	0.0239	0.0078	0	0.2968	0.0078	-	0	-	0	0.0079	0	0	-	0	0.0078	0	0.0240	0.0236	-	0.0406	0.0239	0.0158	0.3121	0.0239	-	0.0158	-	0.0158	0.0240	0.0158	0.0158	-	0.0158	0.0237	0.0158	0.0157	-	0.0323	0.0159	0.0079	0.3138	0.0159	-	0.0079	-	0.0079	0.0160	0.0079	0.0079	-	0.0079	0.0157	0.0079	-	0.0318	0.0156	0.0078	0.3068	0.0156	-	0.0078	-	0.0078	0.0157	0.0078	0.0078	-	0.0078	0.0155	0.0078	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0321	0.0239	0.3231	0.0321	-	0.0239	-	0.0239	0.0324	0.0239	0.0239	-	0.0239	0.0318	0.0239	0.0078	0.2855	0	-	0.0078	-	0.0078	0.0159	0.0078	0.0078	-	0.0078	0.0156	0.0078	0.2968	0.0078	-	0	-	0	0.0079	0	0	-	0	0.0078	0	0.2855	-	0.2968	-	0.2968	0.2873	0.2968	0.2968	-	0.2968	0.3046	0.2968	-	0.0078	-	0.0078	0.0159	0.0078	0.0078	-	0.0078	0.0156	0.0078	-	-	-	-	-	-	-	-	-	-	-	0	0.0079	0	0	-	0	0.0078	0	-	-	-	-	-	-	-	-	0.0079	0	0	-	0	0.0078	0	0.0079	0.0079	-	0.0079	0.0157	0.0079	0	-	0	0.0078	0	-	0	0.0078	0	-	-	-	0.0078	0	0.0078
OG0000236	0	0	0	0	0	0	0	0.0263	0	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0	0	0	0	0	0	0.0263	0	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0	0	0	0	0	0.0263	0	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0	0	0	0	0.0263	0	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0	0	0	0.0263	0	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0	0	0.0263	0	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0	0.0263	0	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0.0263	0	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0.0263	0.0263	0.0544	0.0263	0.0544	0.2354	0.0263	0.0263	0.0263	-	0.0263	-	0	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0.0272	0	0.0272	0.2050	0	0	0	-	0	-	0.0272	0	0.2423	0.0272	0.0272	0.0272	-	0.0272	-	0.0272	0.2050	0	0	0	-	0	-	0.2423	0.0272	0.0272	0.0272	-	0.0272	-	0.2050	0.2050	0.2050	-	0.2050	-	0	0	-	0	-	0	-	0	-	-	0	-	-	-	-
OG0000237	0	0	0	0	0	-	0	-	-	0	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	0	0	0	0	-	0	-	-	0	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	0	0	0	-	0	-	-	0	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	0	0	-	0	-	-	0	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	0	-	0	-	-	0	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	-	0	-	-	0	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	0.0082	0	0.0081	0	0	0.0081	-	0	0	0.0082	0.0164	0.0082	0.0082	0.0165	-	0.0082	0.0082	0.0081	0	0	0.0081	-	0	0	0.0081	0.0081	0.0163	-	0.0081	0.0081	0	0.0081	-	0	0	0.0081	-	0	0	-	0.0081	0.0081	-	-	0
OG0000238	0.0141	0.0047	0.0047	0.0191	0.0094	-	0.0047	0.0094	0.0047	0.0141	0.0188	0.0094	0.0188	0.0094	0.0142	0.0047	-	0.0094	0.0141	-	0.0093	0.0093	0.0142	0.0046	-	0.0093	0.0047	0.0093	0.0093	0.0139	0.0046	0.0139	0.0046	0.0094	0.0093	-	0.0046	0.0093	-	0	0.0143	0.0047	-	0	0.0047	0	0.0094	0.0140	0.0047	0.0140	0.0047	0.0094	0	-	0.0047	0.0093	-	0.0143	0.0047	-	0	0.0047	0	0.0094	0.0140	0.0047	0.0140	0.0047	0.0094	0	-	0.0047	0.0093	-	0.0095	-	0.0143	0.0095	0.0143	0.0143	0.0189	0.0095	0.0189	0.0095	0.0143	0.0143	-	0.0095	0.0142	-	-	0.0047	0	0.0047	0.0047	0.0093	0	0.0093	0	0.0047	0.0047	-	0	0.0046	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0047	0	0.0094	0.0140	0.0047	0.0140	0.0047	0.0094	0	-	0.0047	0.0093	-	0.0047	0.0047	0.0094	0	0.0094	0	0.0047	0.0047	-	0	0.0047	-	0.0094	0.0140	0.0047	0.0140	0.0047	0.0094	0	-	0.0047	0.0093	-	0.0140	0.0047	0.0140	0.0047	0.0094	0.0094	-	0.0047	0.0093	-	0.0093	0	0.0093	0.0141	0.0140	-	0.0093	0.0140	-	0.0093	0	0.0047	0.0047	-	0	0.0046	-	0.0093	0.0141	0.0140	-	0.0093	0.0140	-	0.0047	0.0047	-	0	0.0046	-	0.0094	-	0.0047	0.0094	-	-	0.0047	0.0093	-	-	-	-	0.0046	-	-
OG0000239	0.0220	0	0	0	0	0	-	0	-	0	0	0.0110	0	0.0110	0	0	0	-	-	0	0.0219	0.0220	0.0219	0.0220	0.0220	-	0.0219	-	0.0220	0.0220	0.0337	0.0220	0.0336	0.0220	0.0220	0.0220	-	-	0.0220	0	0	0	0	-	0	-	0	0	0.0110	0	0.0110	0	0	0	-	-	0	0	0	0	-	0	-	0	0	0.0110	0	0.0110	0	0	0	-	-	0	0	0	-	0	-	0	0	0.0110	0	0.0110	0	0	0	-	-	0	0	-	0	-	0	0	0.0111	0	0.0110	0	0	0	-	-	0	-	0	-	0	0	0.0110	0	0.0110	0	0	0	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.0110	0	0.0110	0	0	0	-	-	0	-	-	-	-	-	-	-	-	-	-	-	0	0.0110	0	0.0110	0	0	0	-	-	0	0.0111	0	0.0110	0	0	0	-	-	0	0.0111	0.0225	0.0110	0.0110	0.0111	-	-	0.0110	0.0110	0	0	0	-	-	0	0.0110	0.0110	0.0110	-	-	0.0110	0	0	-	-	0	0	-	-	0	-	-	0	-	-	-
OG0000240	0	0	0	0.0081	0.0080	0	-	0	-	0	0	0	0.0081	0.0080	0	0	-	-	0	0	0	0	0.0081	0.0080	0	-	0	-	0	0	0	0.0081	0.0080	0	0	-	-	0	0	0	0.0081	0.0080	0	-	0	-	0	0	0	0.0081	0.0080	0	0	-	-	0	0	0.0081	0.0080	0	-	0	-	0	0	0	0.0081	0.0080	0	0	-	-	0	0	0.0162	0.0081	-	0.0081	-	0.0081	0.0081	0.0081	0.0164	0.0162	0.0081	0.0081	-	-	0.0081	0.0081	0.0080	-	0.0080	-	0.0080	0.0080	0.0080	0.0163	0.0162	0.0080	0.0080	-	-	0.0080	0.0080	-	0	-	0	0	0	0.0081	0.0080	0	0	-	-	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0.0081	0.0080	0	0	-	-	0	0	-	-	-	-	-	-	-	-	-	-	-	0	0	0.0081	0.0080	0	0	-	-	0	0	0	0.0081	0.0081	0	0	-	-	0	0	0.0081	0.0080	0	0	-	-	0	0	0.0163	0.0081	0.0081	-	-	0.0081	0.0081	0.0080	0.0080	-	-	0.0080	0.0080	0	-	-	0	0	-	-	0	0	-	-	-	-	-	0
