OG	GCA_000634095__GCA_003210175	GCA_000634095__GCA_003213315	GCA_000634095__GCA_003278775	GCA_000634095__GCA_003280965	GCA_000634095__GCA_902521125	GCA_000634095__GCA_902532695	GCA_000634095__GCA_902539515	GCA_000634095__GCA_902543475	GCA_000634095__GCA_902580925	GCA_000634095__GCA_902595155	GCA_000634095__GCA_902596215	GCA_000634095__GCA_902611085	GCA_000634095__GCA_902614405	GCA_000634095__GCA_902614465	GCA_000634095__GCA_902616055	GCA_000634095__GCA_902621495	GCA_000634095__GCA_902624115	GCA_003210175__GCA_003213315	GCA_003210175__GCA_003278775	GCA_003210175__GCA_003280965	GCA_003210175__GCA_902521125	GCA_003210175__GCA_902532695	GCA_003210175__GCA_902539515	GCA_003210175__GCA_902543475	GCA_003210175__GCA_902580925	GCA_003210175__GCA_902595155	GCA_003210175__GCA_902596215	GCA_003210175__GCA_902611085	GCA_003210175__GCA_902614405	GCA_003210175__GCA_902614465	GCA_003210175__GCA_902616055	GCA_003210175__GCA_902621495	GCA_003210175__GCA_902624115	GCA_003213315__GCA_003278775	GCA_003213315__GCA_003280965	GCA_003213315__GCA_902521125	GCA_003213315__GCA_902532695	GCA_003213315__GCA_902539515	GCA_003213315__GCA_902543475	GCA_003213315__GCA_902580925	GCA_003213315__GCA_902595155	GCA_003213315__GCA_902596215	GCA_003213315__GCA_902611085	GCA_003213315__GCA_902614405	GCA_003213315__GCA_902614465	GCA_003213315__GCA_902616055	GCA_003213315__GCA_902621495	GCA_003213315__GCA_902624115	GCA_003278775__GCA_003280965	GCA_003278775__GCA_902521125	GCA_003278775__GCA_902532695	GCA_003278775__GCA_902539515	GCA_003278775__GCA_902543475	GCA_003278775__GCA_902580925	GCA_003278775__GCA_902595155	GCA_003278775__GCA_902596215	GCA_003278775__GCA_902611085	GCA_003278775__GCA_902614405	GCA_003278775__GCA_902614465	GCA_003278775__GCA_902616055	GCA_003278775__GCA_902621495	GCA_003278775__GCA_902624115	GCA_003280965__GCA_902521125	GCA_003280965__GCA_902532695	GCA_003280965__GCA_902539515	GCA_003280965__GCA_902543475	GCA_003280965__GCA_902580925	GCA_003280965__GCA_902595155	GCA_003280965__GCA_902596215	GCA_003280965__GCA_902611085	GCA_003280965__GCA_902614405	GCA_003280965__GCA_902614465	GCA_003280965__GCA_902616055	GCA_003280965__GCA_902621495	GCA_003280965__GCA_902624115	GCA_902521125__GCA_902532695	GCA_902521125__GCA_902539515	GCA_902521125__GCA_902543475	GCA_902521125__GCA_902580925	GCA_902521125__GCA_902595155	GCA_902521125__GCA_902596215	GCA_902521125__GCA_902611085	GCA_902521125__GCA_902614405	GCA_902521125__GCA_902614465	GCA_902521125__GCA_902616055	GCA_902521125__GCA_902621495	GCA_902521125__GCA_902624115	GCA_902532695__GCA_902539515	GCA_902532695__GCA_902543475	GCA_902532695__GCA_902580925	GCA_902532695__GCA_902595155	GCA_902532695__GCA_902596215	GCA_902532695__GCA_902611085	GCA_902532695__GCA_902614405	GCA_902532695__GCA_902614465	GCA_902532695__GCA_902616055	GCA_902532695__GCA_902621495	GCA_902532695__GCA_902624115	GCA_902539515__GCA_902543475	GCA_902539515__GCA_902580925	GCA_902539515__GCA_902595155	GCA_902539515__GCA_902596215	GCA_902539515__GCA_902611085	GCA_902539515__GCA_902614405	GCA_902539515__GCA_902614465	GCA_902539515__GCA_902616055	GCA_902539515__GCA_902621495	GCA_902539515__GCA_902624115	GCA_902543475__GCA_902580925	GCA_902543475__GCA_902595155	GCA_902543475__GCA_902596215	GCA_902543475__GCA_902611085	GCA_902543475__GCA_902614405	GCA_902543475__GCA_902614465	GCA_902543475__GCA_902616055	GCA_902543475__GCA_902621495	GCA_902543475__GCA_902624115	GCA_902580925__GCA_902595155	GCA_902580925__GCA_902596215	GCA_902580925__GCA_902611085	GCA_902580925__GCA_902614405	GCA_902580925__GCA_902614465	GCA_902580925__GCA_902616055	GCA_902580925__GCA_902621495	GCA_902580925__GCA_902624115	GCA_902595155__GCA_902596215	GCA_902595155__GCA_902611085	GCA_902595155__GCA_902614405	GCA_902595155__GCA_902614465	GCA_902595155__GCA_902616055	GCA_902595155__GCA_902621495	GCA_902595155__GCA_902624115	GCA_902596215__GCA_902611085	GCA_902596215__GCA_902614405	GCA_902596215__GCA_902614465	GCA_902596215__GCA_902616055	GCA_902596215__GCA_902621495	GCA_902596215__GCA_902624115	GCA_902611085__GCA_902614405	GCA_902611085__GCA_902614465	GCA_902611085__GCA_902616055	GCA_902611085__GCA_902621495	GCA_902611085__GCA_902624115	GCA_902614405__GCA_902614465	GCA_902614405__GCA_902616055	GCA_902614405__GCA_902621495	GCA_902614405__GCA_902624115	GCA_902614465__GCA_902616055	GCA_902614465__GCA_902621495	GCA_902614465__GCA_902624115	GCA_902616055__GCA_902621495	GCA_902616055__GCA_902624115	GCA_902621495__GCA_902624115
OG0000219	0.0140	0.0140	0.0092	0.0138	0.0140	0.0092	0.0140	-	-	0.0140	0.0093	0.0187	0	0.0140	0.0140	-	0.0140	0.0093	0.0046	0.0092	0.0093	0.0046	0.0093	-	-	0	0.0140	0.0140	0.0140	0.0093	0.0093	-	0	0.0046	0.0092	0	0.0046	0	-	-	0.0093	0.0046	0.0046	0.0140	0	0	-	0.0093	0.0046	0.0046	0	0.0046	-	-	0.0046	0.0093	0.0092	0.0092	0.0046	0.0046	-	0.0046	0.0092	0.0046	0.0092	-	-	0.0092	0.0139	0.0138	0.0138	0.0092	0.0092	-	0.0092	0.0046	0	-	-	0.0093	0.0046	0.0046	0.0140	0	0	-	0.0093	0.0046	-	-	0.0046	0.0093	0.0092	0.0092	0.0046	0.0046	-	0.0046	-	-	0.0093	0.0046	0.0046	0.0140	0	0	-	0.0093	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0140	0.0140	0.0140	0.0093	0.0093	-	0	0.0093	0.0093	0.0046	0.0046	-	0.0140	0.0187	0.0046	0.0046	-	0.0140	0.0140	0.0140	-	0.0140	0	-	0.0093	-	0.0093	-
OG0000223	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0	0.0147	0	0	0	0	0	0	0.0147	0	0	0	0	0	0.0147	0	0	0	0	0.0147	0	0	0	0.0147	0	0	0.0147	0	0.0147	0	0.0147
OG0000226	0.0083	-	0.0126	0.0126	0.0169	0.0083	-	-	0.0042	0.0125	0.0083	0.0083	0	-	0.0125	0.0478	-	-	0.0126	0.0126	0.0169	0.0083	-	-	0.0042	0.0041	0.0083	0.0083	0.0083	-	0.0125	0.0431	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0170	0.0214	0.0126	-	-	0.0084	0.0168	0.0126	0.0126	0.0126	-	0.0168	0.0527	-	0.0215	0.0126	-	-	0.0084	0.0168	0.0126	0.0126	0.0126	-	0.0169	0.0526	-	0.0169	-	-	0.0127	0.0212	0.0084	0.0084	0.0169	-	0.0127	0.0576	-	-	-	0.0042	0.0124	0.0083	0.0083	0.0083	-	0.0125	0.0476	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0083	0.0042	0.0042	0.0042	-	0.0084	0.0434	-	0.0125	0.0125	0.0125	-	0.0167	0.0474	-	0	0.0083	-	0.0042	0.0478	-	0.0083	-	0.0042	0.0478	-	-	0.0125	0.0478	-	-	-	-	0.0523	-	-
OG0000227	0	0	0	0.0224	0	0	-	-	0	0	0	0.0111	0	-	0	0.0112	0	0	0	0.0224	0	0	-	-	0	0	0	0.0111	0	-	0	0.0112	0	0	0.0224	0	0	-	-	0	0	0	0.0111	0	-	0	0.0112	0	0.0224	0	0	-	-	0	0	0	0.0111	0	-	0	0.0112	0	0.0224	0.0224	-	-	0.0224	0.0224	0.0224	0.0340	0.0224	-	0.0224	0.0227	0.0224	0	-	-	0	0	0	0.0111	0	-	0	0.0112	0	-	-	0	0	0	0.0111	0	-	0	0.0112	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.0111	0	-	0	0.0112	0	0	0.0111	0	-	0	0.0112	0	0.0111	0	-	0	0.0112	0	0.0111	-	0.0111	0.0227	0.0111	-	0	0.0112	0	-	-	-	0.0112	0	0.0112
OG0000228	0.0250	-	0.0184	0.0061	-	0.0187	0.0186	-	-	0.0250	0.0186	-	0	0.0186	0.0186	0.0379	0.0250	-	0.0184	0.0186	-	0.0062	0.0186	-	-	0	0.0186	-	0.0250	0.0186	0.0187	0.0380	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0122	-	0.0123	0.0122	-	-	0.0184	0.0122	-	0.0184	0.0122	0.0122	0.0310	0.0184	-	0.0124	0.0123	-	-	0.0186	0.0123	-	0.0061	0.0123	0.0123	0.0312	0.0186	-	-	-	-	-	-	-	-	-	-	-	-	0.0124	-	-	0.0062	0.0124	-	0.0187	0.0124	0.0124	0.0316	0.0062	-	-	0.0186	0	-	0.0186	0	0	0.0186	0.0186	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0186	-	0.0250	0.0186	0.0187	0.0380	0	-	0.0186	0	0	0.0186	0.0186	-	-	-	-	-	0.0186	0.0186	0.0379	0.0250	0	0.0186	0.0186	0.0186	0.0187	0.0380
OG0000229	0.0062	-	0.0062	0	0.0315	0.0062	0.0313	-	0.0125	0.0062	-	-	-	0.0250	0.0124	0.0253	0.0062	-	0	0.0062	0.0252	0	0.0250	-	0.0062	0	-	-	-	0.0187	0.0062	0.0189	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0062	0.0252	0	0.0250	-	0.0062	0	-	-	-	0.0187	0.0062	0.0189	0	0.0315	0.0062	0.0313	-	0.0125	0.0062	-	-	-	0.0250	0.0123	0.0253	0.0062	0.0252	0.0123	-	0.0317	0.0252	-	-	-	0.0062	0.0186	0.0317	0.0252	0.0250	-	0.0062	0	-	-	-	0.0188	0.0062	0.0190	0	-	0.0314	0.0250	-	-	-	0.0061	0.0185	0.0446	0.0250	-	-	-	-	-	-	-	-	-	0.0062	-	-	-	0.0252	0.0125	0.0254	0.0062	-	-	-	0.0187	0.0062	0.0189	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0124	0.0383	0.0187	0.0252	0.0062	0.0189
OG0000230	0	0.0114	-	0	0.0114	0	0.0114	0.0114	0	0	0.0114	-	-	-	0	0.0114	0	0.0113	-	0	0.0113	0	0.0113	0.0113	0	0	0.0113	-	-	-	0	0.0113	0	-	0.0114	0	0.0114	0	0	0.0114	0.0113	0	-	-	-	0.0114	0.0229	0.0113	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0114	0	0.0114	0.0114	0	0	0.0114	-	-	-	0	0.0114	0	0.0114	0	0	0.0114	0.0113	0	-	-	-	0.0114	0.0229	0.0113	0.0114	0.0114	0	0	0.0114	-	-	-	0	0.0114	0	0	0.0114	0.0113	0	-	-	-	0.0114	0.0229	0.0113	0.0114	0.0113	0	-	-	-	0.0114	0.0229	0.0113	0	0.0114	-	-	-	0	0.0114	0	0.0113	-	-	-	0	0.0113	0	-	-	-	0.0114	0.0229	0.0113	-	-	-	-	-	-	-	-	-	-	-	-	0.0114	0	0.0113
OG0000231	0.0251	0.0285	0.0221	0.0220	0.0285	0.0221	-	0.0286	0.0124	0.0220	0.0253	-	-	-	0.0252	0.0621	0.0251	0.0288	0.0095	0.0353	0.0288	0.0095	-	0.0289	0.0126	0.0031	0.0255	-	-	-	0.0254	0.0628	0	0.0257	0.0388	0.0063	0.0257	-	0.0063	0.0158	0.0255	0.0031	-	-	-	0.0095	0.0528	0.0288	0.0323	0.0257	0.0063	-	0.0258	0.0095	0.0063	0.0225	-	-	-	0.0224	0.0599	0.0095	0.0388	0.0323	-	0.0389	0.0222	0.0321	0.0355	-	-	-	0.0354	0.0733	0.0353	0.0257	-	0.0063	0.0158	0.0255	0.0031	-	-	-	0.0095	0.0596	0.0288	-	0.0258	0.0095	0.0063	0.0225	-	-	-	0.0224	0.0598	0.0095	-	-	-	-	-	-	-	-	-	-	0.0159	0.0256	0.0032	-	-	-	0.0095	0.0598	0.0289	0.0094	0.0126	-	-	-	0.0126	0.0493	0.0126	0.0223	-	-	-	0.0222	0.0595	0.0031	-	-	-	0.0063	0.0563	0.0255	-	-	-	-	-	-	-	-	-	-	-	-	0.0561	0.0254	0.0628
OG0000234	0	0	0	0	0	0	0	0	0	0	0	-	0	0	-	0	-	0	0	0	0	0	0	0	0	0	0	-	0	0	-	0	-	0	0	0	0	0	0	0	0	0	-	0	0	-	0	-	0	0	0	0	0	0	0	0	-	0	0	-	0	-	0	0	0	0	0	0	0	-	0	0	-	0	-	0	0	0	0	0	0	-	0	0	-	0	-	0	0	0	0	0	-	0	0	-	0	-	0	0	0	0	-	0	0	-	0	-	0	0	0	-	0	0	-	0	-	0	0	-	0	0	-	0	-	0	-	0	0	-	0	-	-	0	0	-	0	-	-	-	-	-	-	0	-	0	-	-	0	-	-	-	-
OG0000235	0	0.0102	-	0.0104	0.0102	-	0.0102	0.0102	0	0	-	-	0	0.0102	0.0102	0.0942	-	0.0102	-	0.0104	0.0102	-	0.0102	0.0102	0	0	-	-	0	0.0102	0.0102	0.0941	-	-	0.0208	0	-	0	0	0.0102	0.0102	-	-	0.0102	0	0	0.1065	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0208	-	0.0208	0.0208	0.0104	0.0104	-	-	0.0104	0.0208	0.0208	0.1088	-	-	0	0	0.0102	0.0102	-	-	0.0102	0	0	0.1065	-	-	-	-	-	-	-	-	-	-	-	-	0	0.0102	0.0102	-	-	0.0102	0	0	0.1065	-	0.0102	0.0102	-	-	0.0102	0	0	0.1065	-	0	-	-	0	0.0102	0.0102	0.0942	-	-	-	0	0.0102	0.0102	0.0938	-	-	-	-	-	-	-	-	-	-	-	-	0.0102	0.0102	0.0942	-	0	0.1065	-	0.1065	-	-
OG0000239	0.0111	0.0227	0	0	-	0.0228	0.0227	-	-	0.0225	0.0227	-	0	0.0349	0.0113	-	0.0111	0.0338	0.0111	0.0111	-	0.0342	0.0338	-	-	0.0110	0.0338	-	0.0111	0.0463	0.0224	-	0	0.0226	0.0227	-	0.0469	0	-	-	0.0460	0	-	0.0227	0.0115	0.0113	-	0.0338	0	-	0.0228	0.0226	-	-	0.0225	0.0226	-	0	0.0349	0.0112	-	0.0111	-	0.0228	0.0227	-	-	0.0226	0.0227	-	0	0.0350	0.0113	-	0.0111	-	-	-	-	-	-	-	-	-	-	-	-	0.0469	-	-	0.0463	0.0469	-	0.0228	0.0605	0.0347	-	0.0342	-	-	0.0460	0	-	0.0227	0.0115	0.0113	-	0.0338	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0460	-	0.0225	0.0589	0.0342	-	0.0110	-	0.0227	0.0115	0.0113	-	0.0338	-	-	-	-	-	0.0349	0.0113	-	0.0111	0.0232	-	0.0463	-	0.0224	-
OG0000240	0	0.0126	0	0.0064	-	0	0.0126	-	-	0	0.0126	-	0	0.0126	0.0125	-	0	0.0126	0	0.0064	-	0	0.0126	-	-	0	0.0126	-	0	0.0126	0.0126	-	0	0.0126	0.0191	-	0.0126	0	-	-	0.0126	0	-	0.0126	0	0.0124	-	0.0126	0.0064	-	0	0.0126	-	-	0	0.0126	-	0	0.0126	0.0126	-	0	-	0.0064	0.0191	-	-	0.0064	0.0191	-	0.0064	0.0191	0.0191	-	0.0064	-	-	-	-	-	-	-	-	-	-	-	-	0.0126	-	-	0	0.0126	-	0	0.0126	0.0126	-	0	-	-	0.0126	0	-	0.0126	0	0.0124	-	0.0126	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0126	-	0	0.0126	0.0126	-	0	-	0.0126	0	0.0124	-	0.0126	-	-	-	-	-	0.0126	0.0125	-	0	0.0124	-	0.0126	-	0.0126	-
OG0000241	0.0253	-	0.0304	0.0151	0.0307	-	0.0307	0.0307	0.0203	0.0253	0.0411	0.0306	0	0.0307	-	0.0764	-	-	0.0050	0.0100	0.0254	-	0.0254	0.0254	0.0151	0	0.0357	0.0253	0.0253	0.0254	-	0.0760	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0151	0.0306	-	0.0306	0.0306	0.0203	0.0050	0.0410	0.0306	0.0304	0.0306	-	0.0814	-	0.0152	-	0.0152	0.0152	0.0050	0.0100	0.0254	0.0152	0.0151	0.0152	-	0.0657	-	-	0	0	0.0204	0.0254	0.0101	0	0.0307	0	-	0.0606	-	-	-	-	-	-	-	-	-	-	-	-	0	0.0204	0.0254	0.0101	0	0.0307	0	-	0.0606	-	0.0204	0.0254	0.0101	0	0.0307	0	-	0.0606	-	0.0151	0.0307	0.0204	0.0203	0.0204	-	0.0713	-	0.0357	0.0253	0.0253	0.0254	-	0.0760	-	0.0101	0.0411	0.0101	-	0.0712	-	0.0306	0	-	0.0606	-	0.0307	-	0.0764	-	-	0.0606	-	-	-	-
OG0000244	-	0.0348	-	0.0255	0.0348	-	0.0348	0.0348	0.0254	0.0168	-	-	0	0.0348	0.0258	0.0698	0.0168	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0256	0	-	0	0	0.0256	0.0169	-	-	0.0348	0	0.0085	0.0702	0.0169	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0256	-	0.0256	0.0256	0.0166	0.0082	-	-	0.0255	0.0256	0.0168	0.0593	0.0082	-	0	0	0.0256	0.0169	-	-	0.0348	0	0.0085	0.0702	0.0169	-	-	-	-	-	-	-	-	-	-	-	0	0.0256	0.0169	-	-	0.0348	0	0.0085	0.0702	0.0169	0.0256	0.0169	-	-	0.0348	0	0.0085	0.0702	0.0169	0.0082	-	-	0.0254	0.0256	0.0168	0.0593	0.0082	-	-	0.0168	0.0169	0.0083	0.0506	0	-	-	-	-	-	-	-	-	-	-	-	0.0348	0.0258	0.0698	0.0168	0.0085	0.0702	0.0169	0.0604	0.0083	0.0506
OG0000250	-	0.0132	-	0	0.0132	-	-	0.0132	0.0043	0.0087	0.0132	0.0132	0	0.0132	0.0088	0.0313	0.0043	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0132	0	-	-	0	0.0177	0.0222	0	0.0089	0.0132	0	0.0044	0.0463	0.0178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0132	-	-	0.0132	0.0043	0.0087	0.0132	0.0132	0	0.0132	0.0088	0.0313	0.0043	-	-	0	0.0177	0.0222	0	0.0089	0.0132	0	0.0044	0.0463	0.0178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0177	0.0222	0	0.0089	0.0132	0	0.0044	0.0463	0.0178	0.0131	0.0177	0.0176	0.0043	0.0176	0.0132	0.0363	0.0087	0.0222	0.0221	0.0087	0.0221	0.0177	0.0404	0.0131	0.0089	0.0132	0	0.0044	0.0463	0.0178	0.0132	0.0088	0.0044	0.0460	0.0176	0.0132	0.0088	0.0313	0.0043	0.0044	0.0461	0.0177	0.0414	0.0132	0.0363
OG0000251	-	0.0098	-	0	0.0098	-	-	0.0098	0	0	0.0098	0.0098	0	0.0098	0.0098	0.0638	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0098	0	-	-	0	0.0098	0.0098	0	0	0.0098	0	0	0.0740	0.0098	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0098	-	-	0.0098	0	0	0.0098	0.0098	0	0.0098	0.0098	0.0638	0	-	-	0	0.0098	0.0098	0	0	0.0098	0	0	0.0740	0.0098	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0098	0.0098	0	0	0.0098	0	0	0.0740	0.0098	0	0.0098	0.0098	0	0.0098	0.0098	0.0638	0	0.0098	0.0098	0	0.0098	0.0098	0.0638	0	0	0.0098	0	0	0.0740	0.0098	0.0098	0	0	0.0740	0.0098	0.0098	0.0098	0.0638	0	0	0.0740	0.0098	0.0740	0.0098	0.0638
OG0000252	0.0103	0.0309	-	0.0068	0.0341	0.0068	0.0309	0.0309	-	-	0.0308	0.0378	0	0.0308	-	0.0487	0.0103	0.0421	-	0.0103	0.0454	0.0069	0.0421	0.0421	-	-	0.0421	0.0492	0.0103	0.0421	-	0.0606	0	-	0.0380	0.0033	0.0383	0	0	-	-	0	0.0066	0.0309	0	-	0.0448	0.0421	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0412	0.0068	0.0380	0.0380	-	-	0.0380	0.0449	0.0068	0.0380	-	0.0560	0.0103	0.0416	0.0033	0.0033	-	-	0.0033	0.0099	0.0341	0.0033	-	0.0481	0.0454	0.0383	0.0383	-	-	0.0382	0.0453	0.0068	0.0382	-	0.0565	0.0069	0	-	-	0	0.0066	0.0309	0	-	0.0448	0.0421	-	-	0	0.0066	0.0309	0	-	0.0448	0.0421	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0066	0.0308	0	-	0.0448	0.0421	0.0378	0.0066	-	0.0518	0.0492	0.0308	-	0.0487	0.0103	-	0.0448	0.0421	-	-	0.0606
OG0000258	0.0248	-	0	0	0	0	0	0	0	0	0	-	0	0	-	0.0248	-	-	0.0248	0.0248	0.0248	0.0248	0.0248	0.0248	0.0248	0.0248	0.0248	-	0.0248	0.0248	-	0.0505	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	-	0	0	-	0.0248	-	0	0	0	0	0	0	0	-	0	0	-	0.0248	-	0	0	0	0	0	0	-	0	0	-	0.0248	-	0	0	0	0	0	-	0	0	-	0.0248	-	0	0	0	0	-	0	0	-	0.0248	-	0	0	0	-	0	0	-	0.0248	-	0	0	-	0	0	-	0.0248	-	0	-	0	0	-	0.0248	-	-	0	0	-	0.0248	-	-	-	-	-	-	0	-	0.0248	-	-	0.0248	-	-	-	-
OG0000259	0	0.0131	0	0	0.0131	0	-	0.0131	-	-	0.0131	0.0131	-	0.0131	0.0131	0.0131	0	0.0133	0	0	0.0133	0	-	0.0133	-	-	0.0133	0.0133	-	0.0133	0.0133	0.0133	0	0.0131	0.0131	0	0.0133	-	0	-	-	0	0	-	0	0	0.0269	0.0133	0	0.0131	0	-	0.0131	-	-	0.0131	0.0131	-	0.0131	0.0131	0.0131	0	0.0131	0	-	0.0131	-	-	0.0131	0.0131	-	0.0131	0.0131	0.0131	0	0.0133	-	0	-	-	0	0	-	0	0	0.0269	0.0133	-	0.0133	-	-	0.0133	0.0133	-	0.0133	0.0133	0.0133	0	-	-	-	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0.0269	0.0133	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	0.0269	0.0133	-	0	0	0.0269	0.0133	-	-	-	-	0	0.0269	0.0133	0.0269	0.0133	0.0133
OG0000262	0.5800	-	0.5800	0.0068	0.0069	-	0.0138	0.0137	0.6167	0.5800	0.0069	-	-	0.0137	0.0069	0.0425	0.5800	-	0	0.5913	0.5600	-	0.5559	0.5713	0.0131	0	0.5579	-	-	0.5713	0.5600	0.5390	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.5913	0.5600	-	0.5559	0.5713	0.0131	0	0.5579	-	-	0.5713	0.5600	0.5390	0	0.0137	-	0.0206	0.0206	0.6287	0.5913	0.0137	-	-	0.0206	0.0137	0.0497	0.5913	-	0.0069	0.0068	0.5956	0.5600	0	-	-	0.0068	0	0.0354	0.5600	-	-	-	-	-	-	-	-	-	-	-	0.0137	0.5910	0.5559	0.0068	-	-	0.0137	0.0069	0.0426	0.5559	0.6074	0.5713	0.0068	-	-	0	0.0068	0.0426	0.5713	0.0131	0.5933	-	-	0.6074	0.5956	0.5736	0.0131	0.5579	-	-	0.5713	0.5600	0.5390	0	-	-	0.0068	0	0.0353	0.5579	-	-	-	-	-	-	-	-	-	0.0068	0.0426	0.5713	0.0354	0.5600	0.5390
OG0000263	0.0138	0.0171	-	0.0207	0.0137	0.0103	-	0.0172	0.0068	0.0103	0.0137	0.0137	0	0.0172	0.0137	0.0350	0.0138	0.0242	-	0.0279	0.0207	0.0103	-	0.0243	0.0137	0.0034	0.0207	0.0207	0.0138	0.0243	0.0207	0.0458	0	-	0.0310	0.0034	0.0206	-	0.0068	0.0170	0.0207	0.0034	0.0034	0.0171	0.0068	0.0034	0.0491	0.0242	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0276	0.0243	-	0.0312	0.0206	0.0243	0.0276	0.0276	0.0207	0.0312	0.0276	0.0532	0.0279	0.0172	-	0.0034	0.0136	0.0172	0	0	0.0137	0.0034	0	0.0457	0.0207	-	0.0207	0.0102	0.0069	0.0172	0.0172	0.0103	0.0208	0.0172	0.0421	0.0103	-	-	-	-	-	-	-	-	-	-	0.0171	0.0208	0.0034	0.0034	0.0172	0	0.0034	0.0494	0.0243	0.0103	0.0136	0.0136	0.0068	0.0171	0.0136	0.0383	0.0137	0.0172	0.0172	0.0103	0.0208	0.0172	0.0423	0.0034	0	0.0137	0.0034	0	0.0457	0.0207	0.0137	0.0034	0	0.0457	0.0207	0.0172	0.0137	0.0350	0.0138	0.0034	0.0495	0.0243	0.0457	0.0207	0.0459
OG0000265	0.0087	-	-	0.0088	0.0173	0.0087	0.0173	0.0173	0.0087	0.0087	0.0173	0.0173	0	0.0173	0.0173	0.0173	-	-	-	0.0176	0.0086	0	0.0086	0.0086	0	0	0.0086	0.0086	0.0087	0.0086	0.0086	0.0086	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0264	0.0176	0.0264	0.0264	0.0176	0.0176	0.0264	0.0264	0.0088	0.0264	0.0264	0.0264	-	0.0086	0	0	0.0086	0.0086	0	0	0.0173	0	0	0	-	0.0086	0.0086	0	0	0.0086	0.0086	0.0087	0.0086	0.0086	0.0086	-	0	0.0086	0.0086	0	0	0.0173	0	0	0	-	0.0086	0.0086	0	0	0.0173	0	0	0	-	0	0.0086	0.0086	0.0087	0.0086	0.0086	0.0086	-	0.0086	0.0086	0.0087	0.0086	0.0086	0.0086	-	0	0.0173	0	0	0	-	0.0173	0	0	0	-	0.0173	0.0173	0.0173	-	0	0	-	0	-	-
OG0000266	0	-	-	0.0070	0	0	0	0.0071	0	0	0	0.0143	0	0.0071	0	0.0071	-	-	-	0.0070	0	0	0	0.0071	0	0	0	0.0143	0	0.0071	0	0.0071	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0070	0.0070	0.0070	0.0141	0.0070	0.0070	0.0070	0.0214	0.0070	0.0141	0.0070	0.0143	-	0	0	0.0071	0	0	0	0.0143	0	0.0071	0	0.0071	-	0	0.0071	0	0	0	0.0143	0	0.0071	0	0.0071	-	0.0071	0	0	0	0.0143	0	0.0071	0	0.0071	-	0.0071	0.0071	0.0071	0.0214	0.0071	0	0.0071	0.0143	-	0	0	0.0143	0	0.0071	0	0.0071	-	0	0.0143	0	0.0071	0	0.0071	-	0.0143	0	0.0071	0	0.0071	-	0.0143	0.0214	0.0143	0.0217	-	0.0071	0	0.0071	-	0.0071	0.0143	-	0.0071	-	-
